model,year,state,crossing_years,positive_crossing_years,selected_crossing_years,captured_positive_years,capture
hgb_exposure,All,All,251028,3498,25104,1577,0.4508290451686678
hgb_exposure,2024,All,125445,1743,12545,794,0.4555364314400459
hgb_exposure,2025,All,125583,1755,12559,783,0.4461538461538462
hgb_exposure,All,ALABAMA,5434,142,545,40,0.28169014084507044
hgb_exposure,All,ALASKA,324,1,34,0,0.0
hgb_exposure,All,ARIZONA,1378,36,139,21,0.5833333333333334
hgb_exposure,All,ARKANSAS,4892,80,490,21,0.2625
hgb_exposure,All,CALIFORNIA,10860,288,1087,133,0.4618055555555556
hgb_exposure,All,COLORADO,3490,51,350,22,0.43137254901960786
hgb_exposure,All,CONNECTICUT,705,6,72,4,0.6666666666666666
hgb_exposure,All,DELAWARE,538,8,54,4,0.5
hgb_exposure,All,DISTRICT OF COLUMBIA,2,0,2,0,
hgb_exposure,All,FLORIDA,7333,211,734,110,0.5213270142180095
hgb_exposure,All,GEORGIA,10060,157,1007,67,0.4267515923566879
hgb_exposure,All,HAWAII,26,0,4,0,
hgb_exposure,All,IDAHO,2346,43,236,15,0.3488372093023256
hgb_exposure,All,ILLINOIS,15576,191,1558,93,0.4869109947643979
hgb_exposure,All,INDIANA,10906,204,1092,81,0.39705882352941174
hgb_exposure,All,IOWA,8293,75,830,18,0.24
hgb_exposure,All,KANSAS,10067,59,1008,29,0.4915254237288136
hgb_exposure,All,KENTUCKY,4348,66,436,21,0.3181818181818182
hgb_exposure,All,LOUISIANA,5283,113,529,36,0.3185840707964602
hgb_exposure,All,MAINE,1532,11,154,4,0.36363636363636365
hgb_exposure,All,MARYLAND,1330,21,134,7,0.3333333333333333
hgb_exposure,All,MASSACHUSETTS,1541,31,155,16,0.5161290322580645
hgb_exposure,All,MICHIGAN,9331,84,934,18,0.21428571428571427
hgb_exposure,All,MINNESOTA,8168,36,818,13,0.3611111111111111
hgb_exposure,All,MISSISSIPPI,4184,53,420,20,0.37735849056603776
hgb_exposure,All,MISSOURI,6571,56,658,16,0.2857142857142857
hgb_exposure,All,MONTANA,2709,19,272,6,0.3157894736842105
hgb_exposure,All,NEBRASKA,5696,62,571,17,0.27419354838709675
hgb_exposure,All,NEVADA,556,6,56,2,0.3333333333333333
hgb_exposure,All,NEW HAMPSHIRE,680,2,68,1,0.5
hgb_exposure,All,NEW JERSEY,2757,57,276,15,0.2631578947368421
hgb_exposure,All,NEW MEXICO,1442,35,145,13,0.37142857142857144
hgb_exposure,All,NEW YORK,5310,55,532,32,0.5818181818181818
hgb_exposure,All,NORTH CAROLINA,7364,79,738,39,0.4936708860759494
hgb_exposure,All,NORTH DAKOTA,6535,21,654,11,0.5238095238095238
hgb_exposure,All,OHIO,11189,125,1120,51,0.408
hgb_exposure,All,OKLAHOMA,7174,72,718,34,0.4722222222222222
hgb_exposure,All,OREGON,3724,29,374,16,0.5517241379310345
hgb_exposure,All,PENNSYLVANIA,7205,79,721,29,0.3670886075949367
hgb_exposure,All,RHODE ISLAND,95,0,11,0,
hgb_exposure,All,SOUTH CAROLINA,5133,91,514,34,0.37362637362637363
hgb_exposure,All,SOUTH DAKOTA,3749,19,376,6,0.3157894736842105
hgb_exposure,All,TENNESSEE,5372,96,538,36,0.375
hgb_exposure,All,TEXAS,18303,401,1831,157,0.3915211970074813
hgb_exposure,All,UTAH,1519,32,153,11,0.34375
hgb_exposure,All,VERMONT,757,3,76,0,0.0
hgb_exposure,All,VIRGINIA,3644,51,365,22,0.43137254901960786
hgb_exposure,All,WASHINGTON,4297,63,431,23,0.36507936507936506
hgb_exposure,All,WEST VIRGINIA,2672,19,268,14,0.7368421052631579
hgb_exposure,All,WISCONSIN,7914,58,792,18,0.3103448275862069
hgb_exposure,All,WYOMING,714,1,72,0,0.0
hgb_exposure,2024,ALABAMA,2713,66,272,22,0.3333333333333333
hgb_exposure,2024,ALASKA,162,1,17,0,0.0
