year,state,crossing_years,positive_crossing_years
2014,ALABAMA,2781,84.0
2014,ALASKA,186,1.0
2014,ARIZONA,739,14.0
2014,ARKANSAS,2706,54.0
2014,CALIFORNIA,5891,104.0
2014,COLORADO,1680,17.0
2014,CONNECTICUT,362,5.0
2014,DELAWARE,269,5.0
2014,DISTRICT OF COLUMBIA,5,0.0
2014,FLORIDA,3780,67.0
2014,GEORGIA,5154,84.0
2014,HAWAII,8,0.0
2014,IDAHO,1267,17.0
2014,ILLINOIS,7780,103.0
2014,INDIANA,5713,110.0
2014,IOWA,4324,45.0
2014,KANSAS,5067,35.0
2014,KENTUCKY,2290,49.0
2014,LOUISIANA,2722,67.0
2014,MAINE,824,2.0
2014,MARYLAND,630,13.0
2014,MASSACHUSETTS,835,10.0
2014,MICHIGAN,4835,71.0
2014,MINNESOTA,4375,52.0
2014,MISSISSIPPI,2208,31.0
2014,MISSOURI,3425,36.0
2014,MONTANA,1373,10.0
2014,NEBRASKA,2960,29.0
2014,NEVADA,290,0.0
2014,NEW HAMPSHIRE,324,1.0
2014,NEW JERSEY,1509,28.0
2014,NEW MEXICO,705,10.0
2014,NEW YORK,2677,20.0
2014,NORTH CAROLINA,3970,40.0
2014,NORTH DAKOTA,3445,21.0
2014,OHIO,5715,75.0
2014,OKLAHOMA,3724,39.0
2014,OREGON,1786,13.0
2014,PENNSYLVANIA,3471,48.0
2014,RHODE ISLAND,67,0.0
2014,SOUTH CAROLINA,2632,48.0
2014,SOUTH DAKOTA,1870,5.0
2014,TENNESSEE,2770,47.0
2014,TEXAS,9132,205.0
2014,UTAH,692,10.0
2014,VERMONT,372,1.0
2014,VIRGINIA,1895,27.0
2014,WASHINGTON,2392,24.0
2014,WEST VIRGINIA,1412,15.0
2014,WISCONSIN,4020,44.0
2014,WYOMING,377,1.0
2015,ALABAMA,2790,74.0
2015,ALASKA,173,2.0
2015,ARIZONA,730,12.0
2015,ARKANSAS,2705,43.0
2015,CALIFORNIA,5859,117.0
2015,COLORADO,1681,16.0
2015,CONNECTICUT,362,1.0
2015,DELAWARE,270,5.0
2015,DISTRICT OF COLUMBIA,5,0.0
2015,FLORIDA,3774,66.0
2015,GEORGIA,5147,85.0
2015,HAWAII,8,0.0
2015,IDAHO,1273,11.0
2015,ILLINOIS,7773,117.0
2015,INDIANA,5694,108.0
2015,IOWA,4332,42.0
2015,KANSAS,5139,36.0
2015,KENTUCKY,2268,44.0
2015,LOUISIANA,2720,57.0
2015,MAINE,824,4.0
2015,MARYLAND,628,8.0
2015,MASSACHUSETTS,832,8.0
2015,MICHIGAN,4831,48.0
2015,MINNESOTA,4362,34.0
2015,MISSISSIPPI,2206,27.0
2015,MISSOURI,3445,37.0
2015,MONTANA,1394,6.0
2015,NEBRASKA,3011,24.0
2015,NEVADA,290,1.0
2015,NEW HAMPSHIRE,324,0.0
2015,NEW JERSEY,1505,20.0
2015,NEW MEXICO,720,12.0
2015,NEW YORK,2676,25.0
2015,NORTH CAROLINA,3960,59.0
2015,NORTH DAKOTA,3481,14.0
2015,OHIO,5701,68.0
2015,OKLAHOMA,3720,34.0
2015,OREGON,1786,15.0
2015,PENNSYLVANIA,3470,43.0
2015,RHODE ISLAND,67,1.0
2015,SOUTH CAROLINA,2632,35.0
2015,SOUTH DAKOTA,1875,10.0
2015,TENNESSEE,2759,35.0
2015,TEXAS,9154,164.0
2015,UTAH,684,11.0
2015,VERMONT,372,1.0
2015,VIRGINIA,1890,25.0
2015,WASHINGTON,2365,22.0
2015,WEST VIRGINIA,1400,9.0
2015,WISCONSIN,4017,34.0
2015,WYOMING,381,1.0
2016,ALABAMA,2784,67.0
2016,ALASKA,173,0.0
2016,ARIZONA,728,17.0
2016,ARKANSAS,2701,29.0
2016,CALIFORNIA,5879,135.0
2016,COLORADO,1681,14.0
2016,CONNECTICUT,362,2.0
2016,DELAWARE,271,5.0
2016,DISTRICT OF COLUMBIA,5,0.0
2016,FLORIDA,3767,65.0
2016,GEORGIA,5142,91.0
2016,HAWAII,8,0.0
2016,IDAHO,1273,17.0
2016,ILLINOIS,7755,92.0
2016,INDIANA,5674,103.0
2016,IOWA,4339,36.0
2016,KANSAS,5084,34.0
2016,KENTUCKY,2298,44.0
2016,LOUISIANA,2733,66.0
2016,MAINE,808,0.0
2016,MARYLAND,628,15.0
2016,MASSACHUSETTS,828,9.0
2016,MICHIGAN,4836,58.0
2016,MINNESOTA,4355,24.0
2016,MISSISSIPPI,2214,31.0
2016,MISSOURI,3442,29.0
2016,MONTANA,1386,10.0
2016,NEBRASKA,3011,30.0
2016,NEVADA,290,3.0
2016,NEW HAMPSHIRE,323,0.0
2016,NEW JERSEY,1538,24.0
2016,NEW MEXICO,731,13.0
2016,NEW YORK,2654,19.0
2016,NORTH CAROLINA,3930,29.0
2016,NORTH DAKOTA,3478,15.0
2016,OHIO,5692,61.0
2016,OKLAHOMA,3718,26.0
2016,OREGON,1792,16.0
2016,PENNSYLVANIA,3492,36.0
2016,RHODE ISLAND,67,0.0
2016,SOUTH CAROLINA,2631,39.0
2016,SOUTH DAKOTA,1868,9.0
2016,TENNESSEE,2766,38.0
2016,TEXAS,9156,172.0
2016,UTAH,719,8.0
2016,VERMONT,372,3.0
2016,VIRGINIA,1889,18.0
2016,WASHINGTON,2367,26.0
2016,WEST VIRGINIA,1388,8.0
2016,WISCONSIN,4023,36.0
2016,WYOMING,380,2.0
2017,ALABAMA,2754,58.0
2017,ALASKA,175,2.0
2017,ARIZONA,694,17.0
2017,ARKANSAS,2647,39.0
2017,CALIFORNIA,5858,133.0
2017,COLORADO,1746,22.0
2017,CONNECTICUT,361,2.0
2017,DELAWARE,270,1.0
2017,FLORIDA,3708,83.0
2017,GEORGIA,5062,90.0
2017,HAWAII,8,0.0
2017,IDAHO,1256,13.0
2017,ILLINOIS,7748,83.0
2017,INDIANA,5607,88.0
2017,IOWA,4068,34.0
2017,KANSAS,5062,32.0
2017,KENTUCKY,2256,35.0
2017,LOUISIANA,2743,66.0
